location,variable,start,end,quarters,growth_correlation,rms_growth_difference_pp,max_abs_growth_difference_pp
AUS,gdp,1996-Q2,2015-Q1,76,0.93075370874962182,0.20171510898810108,0.48315830695049300
AUT,gdp,1996-Q2,2015-Q1,76,0.76464068964103149,0.50109530033174543,1.15638957550014965
CAN,gdp,1996-Q2,2015-Q1,76,0.97544263928537012,0.14083570997950501,0.41018134654002836
CHE,gdp,1996-Q2,2015-Q1,76,0.91127442573098294,0.27617738128248409,0.70087477987126334
DEU,gdp,1996-Q2,2015-Q1,76,0.96232739379264765,0.24907731433974342,0.73013185464549935
FRA,gdp,1996-Q2,2015-Q1,76,0.91723147147113959,0.22559719076173812,0.50262960172808846
GBR,gdp,1996-Q2,2015-Q1,76,0.92352106874559248,0.25420829851590682,0.87143541084344633
ITA,gdp,1996-Q2,2015-Q1,76,0.94475784954784148,0.24614386999473589,0.66432393337017004
JPN,gdp,1996-Q2,2015-Q1,76,0.94479866760952980,0.35510862219491734,0.94178683841903421
USA,gdp,1996-Q2,2015-Q1,76,0.97743613453563849,0.14316557500791338,0.73622559752557493
AUS,consumption,1996-Q2,2015-Q1,76,0.94015642268198185,0.20292913434847351,0.58188978471864772
AUT,consumption,1996-Q2,2015-Q1,76,0.48085184239431028,0.65587963816328843,1.70993358978321908
CAN,consumption,1996-Q2,2015-Q1,76,0.98330165072215292,0.09183075094872946,0.39364554048102463
CHE,consumption,1996-Q2,2015-Q1,76,0.69217861343041154,0.24939766288644249,0.61125843395206658
DEU,consumption,1996-Q2,2015-Q1,76,0.69726470405662988,0.44846214397798939,1.60060914418647116
FRA,consumption,1996-Q2,2015-Q1,76,0.88752222806279057,0.25415990463481042,0.60993183228674752
GBR,consumption,1996-Q2,2015-Q1,76,0.70519671306121379,0.58946546722805904,1.66856552663467994
ITA,consumption,1996-Q2,2015-Q1,76,0.91389306686556704,0.25131598494965118,0.72541000855785853
JPN,consumption,1996-Q2,2015-Q1,76,0.87026768749502870,0.51931952403576465,2.18475735348242495
USA,consumption,1996-Q2,2015-Q1,76,0.97917650223554109,0.10731688162793916,0.40729239250527627
